"colors","palette","r","g","b","Regions_macro","Region","Hexadecimal","order"
"red1","Red",255,0,0,"America","N
America","#FF0000",1
"orangered","Red",255,69,0,"America","C
America","#FF4500",2
"orangered2","Red",238,64,0,"America","Caribbean","#EE4000",3
"orangered3","Red",205,55,0,"America","Andes","#CD3700",4
"red3","Red",205,0,0,"America","Trop. S.
America","#CD0000",5
"red4","Red",139,0,0,"America","Temp. S.
America","#8B0000",6
"darkolivegreen3","Green",162,205,90,"Africa","W
Africa","#A2CD5A",7
"chartreuse3","Green",102,205,0,"Africa","C
Africa","#66CD00",8
"chartreuse4","Green",69,139,0,"Africa","E
Africa","#458B00",9
"forestgreen","Green",34,139,34,"Africa","S
Africa","#228B22",10
"darkgreen","Green",0,100,0,"Africa","IOI","#006400",11
"bisque2","Brown",238,213,183,"Europe","NW
Europe","#EED5B7",12
"burlywood3","Brown",205,170,125,"Europe","SW
Europe","#CDAA7D",13
"burlywood4","Brown",139,115,85,"Europe","NE
Europe","#8B7355",14
"chocolate4","Brown",139,69,19,"Europe","SE
Europe","#8B4513",15
"gold2","yellow",238,201,0,"Mediterranean","SE
Mediterranean","#EEC900",16
"deepskyblue","Blue",0,191,255,"Asia","W
Asia","#00BFFF",17
"dodgerblue","Blue",30,144,255,"Asia","C
Asia","#1E90FF",18
"dodgerblue2","Blue",28,134,238,"Asia","S
Asia","#1C86EE",19
"dodgerblue4","Blue",16,78,139,"Asia","E
Asia","#104E8B",20
"blue3","Blue",0,0,205,"Asia","SE
Asia","#0000CD",21
"orange1","Orange",255,165,0,"Pacific","Pacific","#FFA500",22
"darkorange","Orange",255,140,0,"Pacific","ANZ","#FF8C00",23
