"","North
America","Latin
America","Africa","Europe","W Asia and
SE Mediterranean","Central
Asia","South
Asia","East
Asia","Southeast
Asia","Pacific"
"N
America",44.3086232724027,18.5449642932928,5.24916738197797,104.04660009759,45.3275367632237,61.9316053422497,3.86624840974836,15.361826177766,2.15456293138323,79.2989342127167
"C
America",69.9572398958506,227.864707146165,417.255677125776,43.572972615301,72.0590098964812,34.9605650639979,52.4312176780676,98.4174085077843,169.115282388689,71.3304770037107
"Caribbean",5.03764778304463,7.13794891064086,29.5927179884637,1.36524507182849,6.46398421858346,10.6319795749149,4.35469750982066,4.34708947805015,6.46215379197238,20.380507885793
"Andes",268.696440171176,135.975417506144,70.5110051555664,334.125444563211,221.771289217698,338.375882489863,100.653486237914,175.155305891703,23.5873519174696,202.306646508744
"Trop. S.
America",47.4186765826661,117.401909610287,401.761594728453,23.2947606813202,26.0353940515411,17.0257317751962,36.402058046203,89.3106004903602,134.02796276939,84.9822746015691
"Temp. S.
America",1,2.97521086779473,0.663941500800071,2.55390276679381,4.15467174200246,2.75135834683242,1.59201113846803,2.32889365499251,1.34881543061327,1.62749188077807
"W
Africa",37.0827336045866,97.8203975430967,279.122378880195,35.7738801597674,82.0086684789518,17.7420372498303,287.93292421907,217.711652094852,365.888138467695,70.0726387058312
"C
Africa",37.0827336045866,91.8621942047434,149.945356425303,35.0467841054398,81.0425856958239,17.5383011247962,267.661459820441,216.506745988956,365.800405558319,65.9500617157664
"E
Africa",24.6230904581605,13.3308590320488,117.82320476681,32.1878475057722,38.3113878945899,13.5573799875279,60.9282461960361,8.67091342046595,7.94536097254513,34.1447530653882
"S
Africa",6.9757786570857,5.66433396797166,113.187490888274,5.63635967486456,23.77085142745,10.8129513695439,55.7630964554317,5.62377420829521,4.56859923413168,9.47236393460696
"IOI",0,0,0,0,0,0,0,0,0,0
"NW
Europe",151.245996718153,132.213774354129,44.4704951048945,166.11043263665,141.322389483136,77.6686555692126,92.4541121942768,65.7166660773473,75.0492724875842,175.895077757845
"SW
Europe",155.172409290453,133.32405709305,45.7040252162218,183.098426872295,153.646054250132,77.4844027824533,102.206655051982,72.756543225568,75.4104661894966,206.062489285221
"NE
Europe",151.245996718153,132.213774354129,44.4704951048945,166.11043263665,141.322389483136,77.6686555692126,92.4541121942768,65.7166660773473,75.0492724875842,175.895077757845
"SE
Europe",155.172409290453,133.32405709305,45.7040252162218,183.098426872295,153.646054250132,77.4844027824533,102.206655051982,72.756543225568,75.4104661894966,206.062489285221
"SE
Mediterranean",579.864316978944,405.269765717747,177.376740745154,742.97245621354,605.449004404983,576.674603900457,273.804015230418,299.612593889269,147.649022714226,624.001814674993
"W
Asia",518.857499489,312.606467408776,151.864408211714,682.465423595095,541.454266672393,593.679424551496,209.629514950317,309.796850419007,90.0307299387215,523.002165569555
"C
Asia",527.025643927631,304.581738374429,127.383968462982,617.075788201385,492.501776140129,570.81947946986,184.521253573098,334.333420453335,85.3271292729434,496.415492586415
"S
Asia",160.66048051923,323.951499158075,375.475493005942,161.292284392835,222.192261126613,72.0498617196434,430.180868921795,260.284488254394,530.983602896772,229.880126225924
"E
Asia",285.046699433417,218.133480820813,118.226405621048,249.670891925547,193.460860976126,103.119423370563,277.26195677046,328.595742499363,382.713417194532,237.841737017058
"SE
Asia",144.472868871204,310.350333411135,353.231873772519,154.42370254816,180.219364474714,70.8151356880625,404.012654322238,258.348432877858,526.712436310777,222.130842630667
"Pacific",5.30043207526829,18.0473342893153,30.8645251421173,3.33642570244587,3.59944436883687,0.0630737345812474,17.6187479535887,4.57462863029576,37.554043143973,40.0570446967807
"ANZ",0,0,0,0,0,0,0,0,0,0
