"colors","palette","r","g","b","Regions_macro","Region"
"red1","Red",255,0,0,"America","N America"
"orangered","Red",255,69,0,"America","C America"
"orangered2","Red",238,64,0,"America","Caribbean"
"orangered3","Red",205,55,0,"America","Andes"
"red3","Red",205,0,0,"America","Trop. S. America"
"red4","Red",139,0,0,"America","Temp. S. America"
"darkolivegreen3","Green",162,205,90,"Africa","W Africa"
"chartreuse3","Green",102,205,0,"Africa","C Africa"
"chartreuse4","Green",69,139,0,"Africa","E Africa"
"forestgreen","Green",34,139,34,"Africa","S Africa"
"darkgreen","Green",0,100,0,"Africa","IOI"
"deepskyblue","Blue",0,191,255,"Asia","W Asia"
"dodgerblue","Blue",30,144,255,"Asia","C Asia"
"dodgerblue2","Blue",28,134,238,"Asia","S Asia"
"dodgerblue4","Blue",16,78,139,"Asia","E Asia"
"blue3","Blue",0,0,205,"Asia","SE Asia"
"bisque2","Brown",238,213,183,"Europe","NW Europe"
"burlywood3","Brown",205,170,125,"Europe","SW Europe"
"burlywood4","Brown",139,115,85,"Europe","NE Europe"
"chocolate4","Brown",139,69,19,"Europe","SE Europe"
"orange1","Orange",255,165,0,"Pacific","Pacific"
"darkorange","Orange",255,140,0,"Pacific","Aus-N Zealand"
"gold2","yellow",238,201,0,"Mediterranean","SE Mediterranean"
